frame,t_sec,danger_raw,danger_smoothed,category,shot_score,shot_signal_kmh,set_piece_confidence,attacking_team,n_attackers,n_defenders,count_anomaly,ball_dist_to_goal_m,closing_speed_kmh,ball_speed_kmh,hull_area_m2,score_ball_proximity,score_space_control,score_compactness,score_numerical_advantage,score_ball_velocity
0,0.0,45.59862404262753,45.45845713532386,NONE,,0.0,,1,9,9,False,23.409393906343343,0.0,0.0,317.7451624205605,78.78960785836284,33.49206349206349,10.591505414018684,30.0,50.0
1,0.04,45.54711181784153,45.17370359143837,NONE,,0.0,,1,9,9,False,23.409393906343343,0.0,0.0,315.37922539986903,78.78960785836284,33.33333333333333,10.5126408466623,30.0,50.0
2,0.08,45.53092758039588,44.30433372327337,NONE,,0.0,,1,9,9,False,23.409393906343343,0.0,0.0,312.142377910739,78.78960785836284,33.33333333333333,10.404745930357967,30.0,50.0
3,0.12,45.486273601342106,43.6318248486692,SET_PIECE,,0.0,100.0,1,9,9,False,23.409393906343343,0.0,0.0,311.14809003649134,78.78960785836284,33.17460317460317,10.371603001216378,30.0,50.0
4,0.16,45.356904398487195,43.0929074248654,SET_PIECE,,0.0,100.0,1,9,9,False,23.409393906343343,0.0,0.0,309.0837732750333,78.78960785836284,32.698412698412696,10.30279244250111,30.0,50.0
5,0.2,45.23090137124893,42.776339062536366,SET_PIECE,,0.0,100.0,1,9,9,False,23.409393906343343,0.0,0.0,307.6926916369048,78.78960785836284,32.22222222222222,10.256423054563493,30.0,50.0
6,0.24,43.46518232812539,42.512310588284414,SET_PIECE,,0.0,100.0,1,9,9,False,23.409393906343343,0.0,0.0,375.1838036471163,78.78960785836284,23.809523809523807,12.506126788237209,30.0,50.0
7,0.28,38.218744646118395,42.60446714466863,SET_PIECE,,0.0,100.0,1,8,9,False,23.409393906343343,0.0,0.0,373.51531486476597,78.78960785836284,2.857142857142857,12.4505104954922,30.0,50.0
8,0.32,38.251753851835765,42.703497715864444,SET_PIECE,,0.0,100.0,1,8,9,False,23.409393906343343,0.0,0.0,372.1806480717314,78.78960785836284,3.015873015873016,12.406021602391046,30.0,50.0
9,0.36,38.24265061063134,42.809633068141345,SET_PIECE,,0.0,100.0,1,9,9,False,23.409393906343343,0.0,0.0,370.3599998308455,78.78960785836284,3.015873015873016,12.34533332769485,30.0,50.0
10,0.4,39.61065543924597,42.92509169458975,SET_PIECE,,0.0,100.0,1,9,8,False,23.409393906343343,0.0,0.0,207.45302904583514,78.78960785836284,11.746031746031745,6.915100968194504,30.0,50.0
11,0.44,39.60799737151297,43.0824519615104,SET_PIECE,,0.0,100.0,1,9,8,False,23.409393906343343,0.0,0.0,206.9214154992369,78.78960785836284,11.746031746031745,6.89738051664123,30.0,50.0
