frame,t_sec,danger_raw,danger_smoothed,category,shot_score,shot_signal_kmh,set_piece_confidence,attacking_team,n_attackers,n_defenders,count_anomaly,ball_dist_to_goal_m,closing_speed_kmh,ball_speed_kmh,hull_area_m2,score_ball_proximity,score_space_control,score_compactness,score_numerical_advantage,score_ball_velocity
39000,0.0,47.60455920470972,50.54359051680814,NONE,,10.044820613423227,,2,9,9,False,12.610853279779542,0.0,20.64937478253139,569.9777668968745,88.57376895895221,18.73015873015873,18.999258896562484,40.0,50.0
39001,0.04,47.718303290734426,50.576558416788494,NONE,,13.386151382633074,,2,9,9,False,12.387635043925693,20.089641226846453,20.64937478253139,575.3393917590365,88.77601880508522,17.3015873015873,19.177979725301217,30.0,62.55602576677903
39002,0.08,49.257279065646934,50.44528309169294,NONE,,15.0513180011676,,2,9,9,False,12.164648233691773,20.068812921052768,20.649374782531233,587.2756837555335,88.97805896496276,16.984126984126984,19.575856125184448,40.0,62.54300807565798
39003,0.12,52.53460094399629,50.3719195272979,NONE,,20.0572101661081,,2,10,9,False,11.941905813060982,20.046817856771177,20.64937478253139,580.2496924410516,89.17987769239578,30.0,19.34165641470172,40.0,62.52926116048199
39004,0.16,54.10756811737013,50.31454872446098,NONE,,20.034542301079156,,2,10,8,False,11.719421716841405,20.023568659762,20.64937478253139,591.1204773460122,89.3814623615664,29.841269841269842,19.70401591153374,50.0,62.51473041235125
39005,0.2,52.03923247839132,50.38993302488637,NONE,,20.010568197050922,,2,10,8,False,11.497210941655508,19.998969766730674,20.649374782531233,600.754992334063,89.58279938458573,27.142857142857142,20.025166411135434,40.0,62.49935610420667
39006,0.24,50.77436581667063,50.4048678668566,NONE,,16.474871834188853,,2,10,9,False,11.275289647156177,19.972916504939846,20.64937478253139,612.3961507269778,89.78387411978575,27.61904761904762,20.413205024232592,30.0,62.483072815587406
39007,0.28,49.52635581602412,50.472239027208,NONE,,12.934735617327053,,2,10,9,False,11.209689287097033,5.904032405322894,8.717153561140302,615.0829348988409,89.84331219695484,27.77777777777778,20.502764496628032,30.0,53.69002025332681
39008,0.32,49.78501101213754,51.388826781427234,NONE,,9.390316135993228,,2,10,9,False,11.144544578293536,5.863023792314799,8.717153561140478,616.4223242984081,89.90233742525434,28.730158730158728,20.547410809946935,30.0,53.66438987019675
39009,0.36,49.7982114989286,51.517863141301056,NONE,,5.841793203043144,,2,10,9,False,11.079863557833587,5.821291841395375,8.717153561140302,608.3920819606701,89.96094252257404,28.888888888888886,20.27973606535567,30.0,53.63830740087211
39010,0.4,51.143776029140334,51.01870220448567,NONE,,5.799687795288584,,2,10,8,False,11.015654393687592,5.778824773139508,8.717153561140302,622.4296392133474,90.01912008821596,27.936507936507937,20.747654640444914,40.0,53.611765483212196
39011,0.44,50.569151128529164,49.88104118014061,NONE,,5.756841349688178,,2,10,8,False,10.951925385084207,5.735610774304654,8.717153561140478,631.8344976931276,90.07686260255372,25.396825396825395,21.061149923104253,40.0,53.58475673394041
39012,0.48,48.41301312892658,48.66688985237949,NONE,,22.204014460905093,,2,10,9,False,10.888684962751839,5.691638009913174,8.717153561140302,640.8505405064789,90.13416242681397,22.53968253968254,21.361684683549296,30.0,53.557273756195734
39013,0.52,58.717356341365175,47.09603117717068,NONE,,18.056672694142616,,2,10,8,False,10.09301847068225,71.60998428626304,71.62953942171096,551.0661675598421,90.85508661555103,33.96825396825397,18.368872251994738,40.0,94.75624017891441
39014,0.56,50.805715384132725,45.36041067369109,NONE,,4.584813441645178,,2,10,8,False,10.213135607281254,-10.810542293910412,13.204863516289162,552.3989048180556,90.74625288921072,33.33333333333333,18.413296827268518,40.0,43.243411066305995
39015,0.6,46.54466970221177,43.46256026954624,NONE,,-8.17126055038992,,2,10,8,False,10.748155898788866,-48.15182623568509,83.97711180923307,572.2817194955496,90.26149065093959,30.476190476190478,19.076057316518323,40.0,19.905108602696817
39016,0.64,40.45563582522942,41.426109892360095,NONE,,-36.702129042148016,,2,9,7,False,14.646282544923395,-350.83139815210757,568.1643865093134,444.4975471846665,86.72954125006792,12.857142857142856,14.81658490615555,60.0,0.0
39017,0.68,37.469416545257886,39.68171311552968,NONE,,-43.92307381949829,,2,9,7,False,19.8295409057755,-466.4932524766894,568.164386509314,452.8448181757831,82.03318119713626,12.380952380952381,15.094827272526102,50.0,0.0
39018,0.72,31.92406171416482,37.98921827297099,NONE,,-41.10390554204042,,2,9,9,False,25.526734136370795,-512.7473907535767,568.1643865093137,555.0822074369316,76.87116363226193,6.349206349206349,18.502740247897723,30.0,0.0
39019,0.76,28.69890977426912,36.60230919105937,NONE,,-38.284737264582546,,2,7,9,False,31.45987892206724,-533.98303071268,568.164386509314,548.4731115686573,71.49535902829774,6.031746031746032,18.282437052288575,20.0,0.0
39020,0.8,27.01080616239932,34.49091453022231,NONE,,-35.46556898712468,,2,7,9,False,37.51719833490157,-545.1587471550898,568.1643865093134,548.0877775397748,66.00704435482159,5.873015873015873,18.26959258465916,20.0,0.0
39021,0.84,25.36080697269477,33.064792384741104,NONE,,-32.646400709666814,,2,7,9,False,43.64702421696799,-551.6843293859779,568.1643865093137,559.2650548883594,60.45303423227182,5.714285714285714,18.642168496278646,20.0,0.0
39022,0.88,30.21101470717543,32.01646449394275,NONE,,-30.548941299938903,,2,7,9,False,43.962775864673326,-28.417648293480013,32.82108096663713,563.4299497613974,60.16694325981895,6.031746031746032,18.78099832537991,20.0,32.23896981657499
39023,0.92,30.259213017824806,31.217103719545005,NONE,,-29.172830580161502,,2,7,9,False,44.27927937008379,-28.48531548694197,32.82108096663799,575.6716880821841,59.88017105671036,6.349206349206349,19.189056269406137,20.0,32.196677820661264
39024,0.96,31.770104145987204,30.850267383560123,NONE,,-28.51771772287858,,2,8,9,False,44.59651872529808,-28.551541969286163,32.82108096663713,580.4649801611686,59.59273212711758,6.666666666666667,19.348832672038952,30.0,32.15528626919615
39025,1.0,33.380620411320514,31.298251252464464,NONE,,-28.583260979551852,,2,8,9,False,44.91447833798482,-28.61636514180617,32.82108096663713,597.2596356093454,59.304640598679434,7.142857142857142,19.908654520311515,40.0,32.11477178637114
39026,1.04,33.69224963835812,31.84893148830432,NONE,,-28.647418549453718,,2,8,9,False,45.233143019320075,-28.679821320173104,32.82108096663799,779.6864078634226,59.01591023343153,11.11111111111111,25.989546928780754,30.0,32.07511167489181
39027,1.08,33.96473501263161,32.554909310292594,NONE,,-35.385519175246394,,2,8,9,False,45.552497972281735,-28.741945766549435,32.82108096663713,805.0906161697894,58.726554438412194,12.063492063492063,26.836353872326313,30.0,32.03628389590661
39028,1.12,30.86330653245644,33.459682135721714,NONE,,-36.14738496339008,,2,8,9,False,46.169208466420145,-55.503944472456865,73.26062119768447,823.2937229001836,58.16777570749452,10.0,27.44312409667279,30.0,15.31003470471446
39029,1.16,33.06738051343931,33.95988737927582,NONE,,-27.215829375536998,,2,8,9,False,46.521028780802155,-31.66382829438092,33.055619372845364,828.2961208267934,57.84900424073671,10.158730158730158,27.609870694226444,30.0,30.210107316011925
39030,1.2,37.29986814101692,34.46512584629121,NONE,,-22.785841968086956,,2,9,10,False,46.44273543601061,7.046401031239213,25.929187220999967,847.8951261913498,57.91994296523991,18.095238095238095,28.263170873044995,20.0,54.40400064452451
39031,1.24,35.30707260434738,34.781534522456965,NONE,,-11.665356201800295,,2,9,10,False,46.56520205975227,-11.021996136749266,11.023000733016765,842.3952639977942,57.80898045488123,17.142857142857142,28.07984213325981,20.0,43.111252414531705
39032,1.28,35.482540026258626,35.13203404646723,NONE,,-6.504900787331367,,2,9,10,False,46.68766874205571,-11.022001407310213,11.023000733016426,884.1466010082222,57.69801789146187,17.142857142857142,29.47155336694074,20.0,43.11124912043112
39033,1.32,36.21808087784425,35.46664432034996,NONE,,-11.022004001332169,,2,9,10,False,46.81013548246133,-11.02200663650521,11.023000733016223,887.1189755429186,57.58705527539827,20.158730158730158,29.57063251809729,20.0,43.11124585218424
39034,1.36,36.213477629824595,35.62962158142354,NONE,,-11.022009210273447,,2,9,10,False,46.93260228051426,-11.022011824763993,11.023000733016426,892.8561833165822,57.47609260710256,20.158730158730158,29.761872777219406,20.0,43.111242609522506
39035,1.4,36.322074622009495,36.155309315547264,NONE,,-11.022014378489542,,2,9,10,False,47.05506913576442,-11.022016972514379,11.023000733016765,929.1699494175919,57.36512988698254,20.0,30.97233164725306,20.0,43.11123939217851
39036,1.44,35.567008259976326,36.55695866990498,NONE,,-11.022019506403796,,2,9,10,False,47.17753604776636,-11.022022080174594,11.023000733016426,832.4335866910787,57.2541671154418,19.047619047619047,27.74778622303596,20.0,43.11123619989088
39037,1.48,37.586614699443714,36.47525353877055,NONE,,-11.022024594434432,,2,9,9,False,47.30000301607927,-11.022027148162223,11.023000733016223,847.7746437249516,57.143204292879766,20.952380952380953,28.25915479083172,30.0,43.11123303239861
39038,1.52,37.70757292495081,36.223946668027274,NONE,,-11.022029642993603,,2,9,9,False,47.4224700402669,-11.02203217688654,11.023000733016426,870.6876475697263,57.03224141969171,21.11111111111111,29.022921585657546,30.0,43.11122988944591
39039,1.56,35.92046214551462,35.981061620317085,NONE,,-11.76361140839951,,2,9,10,False,47.54493711989747,-11.022037166751062,11.023000733016765,875.4789162033758,56.92127849626883,20.0,29.182630540112527,20.0,43.11122677078059
39040,1.6,37.17155934194112,35.67544235436924,NONE,,-10.894413106255028,,2,9,9,False,47.700363221473005,-13.988349141798224,25.218277597422603,897.7027659273408,56.780452613435116,19.841269841269842,29.923425530911363,30.0,41.25728178637611
39041,1.64,37.88717276573185,35.435855178084545,NONE,,-9.84543749521652,,2,9,9,False,47.78419915413505,-7.545233939584293,19.006005874631246,900.7651564241896,56.704491953606166,20.317460317460316,30.025505214139653,30.0,45.284228787759815
39042,1.68,36.31940656740386,35.234061560873876,NONE,,-13.056720695486808,,2,9,10,False,47.8600450400543,-6.826129732732511,7.673501813632832,909.5980149400621,56.63577078170767,19.682539682539684,30.319933831335398,20.0,45.73366891704218
39043,1.72,32.291390155428005,35.10871036986095,UNCERTAIN,,-15.526665685177734,,2,8,10,False,48.12523581747466,-23.86716996783221,23.95451854053551,929.9945064963522,56.39549115704352,9.841269841269842,30.99981688321174,20.0,35.08301877010487
39044,1.76,32.567919453736444,34.88729744883004,UNCERTAIN,,-19.607625337733424,,2,8,10,False,48.39043725192535,-23.86812910056193,23.954518540535393,928.3071353046289,56.15520187643555,11.26984126984127,30.94357117682096,20.0,35.082419312148794
39045,1.8,32.55064968646998,34.645639772540015,UNCERTAIN,,-23.868593068312705,,2,8,10,False,48.65564916914543,-23.869072549807058,23.95451854053551,963.0983220538274,55.9149030977752,10.793650793650794,32.103277401794244,20.0,35.08182965637059
39046,1.84,33.338431514408356,34.56769401499559,UNCERTAIN,,-23.869529013018123,,2,8,10,False,48.92087139864598,-23.870000655049637,23.954518540535005,1063.6620055205676,55.67459497553623,12.222222222222221,35.45540018401892,20.0,35.08124959059398
39047,1.88,33.90055121548141,34.439200545016156,UNCERTAIN,,-23.870449774415654,,2,8,10,False,49.1861037736088,-23.870913746653883,23.9545185405359,1127.0300415908796,55.43427766086646,13.492063492063492,37.567668053029315,20.0,35.080678908341326
39048,1.92,34.06279396782125,34.2207226492882,UNCERTAIN,,-23.87135567859756,,2,8,10,False,49.45134613078827,-23.87181214615204,23.954518540535005,1086.6134312992326,55.19395130167677,15.238095238095239,36.220447709974415,20.0,35.08011740865498
39049,1.96,34.92965964707279,34.305234457683795,UNCERTAIN,,-23.872247042962442,,2,8,9,False,49.71659831041643,-23.872696166534695,23.95451854053551,1085.5343691798107,54.953616042727035,13.015873015873018,36.18447897266036,30.0,35.079564895915816
39050,2.0,34.8076808094705,34.541513775078556,UNCERTAIN,,-23.873124176492567,,2,8,9,False,49.981860156110976,-23.873566112509153,23.954518540535393,1083.5120621039314,54.713272025709536,12.857142857142856,36.11706873679771,30.0,35.07902117968178
