epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3412.6,1.10483,11.5548,0.51872,3.15688,1.63525,0.8745,0.8533,0.88536,0.64209,0,0,0,0,0.90809,11.9517,0.63061,1.3078,1.16719,0.000659864,0.000659864,0.000659864
2,6375.47,0.46734,11.5121,0.37838,1.47276,1.08485,0.65274,0.5102,0.58591,0.43771,0,0,0,0,1.44474,11.825,0.47409,1.89543,1.64499,0.0011952,0.0011952,0.0011952
3,9373.3,0.46016,11.601,0.37671,1.29697,1.04382,0.9561,0.88889,0.95315,0.80793,0,0,0,0,0.62248,11.8308,0.46327,0.61669,0.83487,0.00159854,0.00159854,0.00159854
4,10121.2,0.39156,11.6993,0.37479,1.14668,1.00726,0.94727,0.91657,0.92587,0.78821,0,0,0,0,0.67354,11.8944,0.44597,0.84335,0.96828,0.001406,0.001406,0.001406
5,10848.1,0.34571,11.2154,0.37043,1.41259,0.95764,0.97041,0.66937,0.95133,0.79515,0,0,0,0,0.6818,11.7709,0.46302,1.3365,1.06361,0.001208,0.001208,0.001208
6,11570.9,0.36063,11.0656,0.35414,1.39258,0.95003,0.89091,1,0.995,0.87978,0,0,0,0,0.53306,11.736,0.4578,1.291,0.82681,0.00101,0.00101,0.00101
7,12543.6,0.31725,11.1304,0.36733,1.08529,0.92808,1,0.64197,0.89893,0.84925,0,0,0,0,0.62837,11.733,0.42996,1.63325,0.90939,0.000812,0.000812,0.000812
8,13258.1,0.29563,11.4256,0.3676,1.00398,0.92917,1,0.84472,0.95053,0.87623,0,0,0,0,0.5236,11.6925,0.45191,1.26356,0.80385,0.000614,0.000614,0.000614
9,13680.8,0.24808,11.2254,0.36614,0.99579,0.88929,1,0.79579,0.95392,0.88016,0,0,0,0,0.54182,11.5836,0.44988,1.2308,0.79851,0.000416,0.000416,0.000416
10,14107.5,0.21183,11.11,0.35291,1.03718,0.87642,0.91919,0.92857,0.92457,0.68032,0,0,0,0,0.93535,11.6681,0.45626,2.51972,1.15008,0.000218,0.000218,0.000218
